DOI (v31),Abstract,Unique Visitors,Visits Trends,Page View Trend,HTML Full Text View (e42),Full Text Views (e44),PDF Full Text View (e53),tweet,date tweeted,Times Cited,,
10.1097/ACM.0000000000000822,"Physicians' career interest in geriatric medicine continues to wane at a time when the health care needs of older adults are increasing. Nurse practitioners have helped fill the U.S. physician gap by delivering outpatient care to older adults and can practice with full autonomy in many states. Nursing graduate school programs are preparing adult-gerontology primary care nurse practitioners to successfully deliver outpatient care services using a model of training with fewer requirements that is more flexible and of shorter duration compared with the training model for geriatricians. Nurse practitioners can also obtain initial certification and recertification with less time commitment and at lower cost than geriatricians. Whether the outpatient care provided by nurse practitioners is comparable to the care provided by physicians remains a subject of debate. However, as nurse practitioners' scope of practice expands, the perception exists that the outpatient clinical roles of adult-gerontology primary care nurse practitioners and geriatricians are similar. This raises questions about whether there are too many educational and certification requirements for geriatricians. The authors encourage medical educators to learn from the success of the nurse practitioner education model for training large numbers of primary care providers. They propose decreasing the duration of medical school and graduate medical education training for geriatricians and providing educational debt repayment programs as potential incentives to stimulate career interest in geriatric medicine.",7,10,10,1,2,1,1,3/27/18,16,,
10.1097/ACM.0000000000000809,"Purpose: To develop and conduct feasibility testing of an evidence-based and theory-informed model for facilitating performance feedback for physicians so as to enhance their acceptance and use of the feedback.
 
 Method: To develop the feedback model (2011-2013), the authors drew on earlier research which highlights not only the factors that influence giving, receiving, accepting, and using feedback but also the theoretical perspectives which enable the understanding of these influences. The authors undertook an iterative, multistage, qualitative study guided by two recognized research frameworks: the UK Medical Research Council guidelines for studying complex interventions and realist evaluation. Using these frameworks, they conducted the research in four stages: (1) modeling, (2) facilitator preparation, (3) model feasibility testing, and (4) model refinement. They analyzed data, using content and thematic analysis, and used the findings from each stage to inform the subsequent stage.
 
 Results: Findings support the facilitated feedback model, its four phases-build relationship, explore reactions, explore content, coach for performance change (R2C2)-and the theoretical perspectives informing them. The findings contribute to understanding elements that enhance recipients' engagement with, acceptance of, and productive use of feedback. Facilitators reported that the model made sense and the phases generally flowed logically. Recipients reported that the feedback process was helpful and that they appreciated the reflection stimulated by the model and the coaching.
 
 Conclusions: The theory- and evidence-based reflective R2C2 Facilitated Feedback Model appears stable and helpful for physicians in facilitating their reflection on and use of formal performance assessment feedback.",32,35,43,36,49,13,1,5/8/18,10,,
10.1097/ACM.0000000000000806,"Problem: Community health centers (CHCs) face challenges recruiting and retaining primary care clinicians. Providing advanced training that enhances clinical skills within a public health framework, teaches leadership, protects time for scholarly activities, and focuses on the social mission may be a successful career development strategy.
 
 Approach: In July 2012, the Kraft Center for Community Health Leadership developed and implemented two 2-year programs to develop physician and nursing leaders with blended academic-community career paths and identities. The fellowship program for physicians and the practitioner program for early-career physicians and advanced practice nurses include mentored practice in a CHC; monthly learning days; completion of a community-based research project; and, for fellows, matriculation in an MPH program and engagement in a bimonthly leadership seminar.
 
 Outcomes: The first classes of 5 fellows and 14 practitioners graduated in June 2014. All 5 fellowship graduates were offered full-time positions at the CHCs where they practiced, and 2 have accepted leadership positions at their CHCs. All 14 practitioner graduates remain in community health, 5 have accepted leadership positions, and 2 have obtained grants to support ongoing projects.
 
 Next steps: The authors are tracking graduates' career paths and the programs' impact on CHCs while modifying the programs on the basis of feedback; identifying elements of the programs that may be amenable to more cost-effective delivery; and exploring the potential for federal funding to support expansion of the practitioner program, and for the practitioner program to increase the return on investment provided by the National Health Service Corps.",7,7,6,5,7,2,1,5/1/18,48,,
10.1097/ACM.0000000000000803,"The graduate medical education (GME) system in the United States is in need of reform to ensure that the physician workforce being trained is able to meet the current and future health care needs of the population. However, GME funding to existing teaching hospitals and programs relies heavily on support from Medicare, which was capped in 1997. Thus, new, innovative models to expand GME are needed. To address physician shortages, especially in primary care and general surgery and in rural areas, the state of Georgia implemented a statewide initiative. They increased medical school enrollment by 600 students from 2000 to 2010 and committed to establishing new GME programs at new teaching hospitals to train 400 additional residents by 2018. As increasing the capacity of GME programs likely increases the number of physicians practicing in the state, these efforts aim to encourage trainees to practice in Georgia. Although new teaching hospitals, like these, are eligible for new Medicare funding, this approach to expanding GME also incorporates state funding to cover the start-up costs associated with establishing a new teaching hospital and GME program.In this article, the authors provide background on the current state of GME funding in the United States and on the physician workforce and medical education system in Georgia. They then outline the steps taken to expand GME by establishing new teaching hospitals and programs. They conclude by sharing outcomes to date as well as challenges faced and lessons learned so that others can follow this novel model.",8,8,8,7,9,2,1,4/2/18,10,,
10.1097/ACM.0000000000000801,"Observational skills, honed through experience with the literary and visual arts, bring together in a timely manner many of the goals of the medical humanities, providing thematic cohesion through the act of seeing while aiming to advance clinical skills through a unified practice. In an arts observation pedagogy, nature writing serves as an apt model for precise, clinically relevant linguistic noticing because meticulous attention to the natural world involves scientific precision; additionally, a number of visual metaphors employed in medicine are derived from close observation of the natural world. Close reading reinforces observational skills as part of integrative, multidisciplinary clinical practice. Literary precision provides an educational bridge to recognizing the importance of detail in the clinical realm. In weighing multiple perspectives, observation applied to practice helps learners understand the nuances of the role of witness, activating reflection consonant with the viewer's professional identity. The realization that seeing is highly filtered through the observer's values allows the act of observation to come under scrutiny, opening the observer's gaze to disturbance and challenging the values and precepts of the prevailing medical culture. Application of observational skills can, for example, help observers recognize and address noxious effects of the built environment. As learners describe what they see, they also develop the communication skills needed to articulate both problems and possible improvements within their expanding sphere of influence. The ability to craft this speech as public narrative can lead to interventions with positive impacts on physicians, their colleagues, and patients.",8,8,9,7,9,2,1,2/8/18,15,,
10.1097/ACM.0000000000000794,"Problem: Engaging communities in research increases its relevance and may speed the translation of discoveries into improved health outcomes. Many researchers lack training to effectively engage stakeholders, whereas academic institutions lack infrastructure to support community engagement.
 
 Approach: In 2009, the Meharry-Vanderbilt Community-Engaged Research Core began testing new approaches for community engagement, which led to the development of the Community Engagement Studio (CE Studio). This structured program facilitates project-specific input from community and patient stakeholders to enhance research design, implementation, and dissemination. Developers used a team approach to recruit and train stakeholders, prepare researchers to engage with stakeholders, and facilitate an in-person meeting with both.
 
 Outcomes: The research core has implemented 28 CE Studios that engaged 152 community stakeholders. Participating researchers, representing a broad range of faculty ranks and disciplines, reported that input from stakeholders was valuable and that the CE Studio helped determine project feasibility and enhanced research design and implementation. Stakeholders found the CE Studio to be an acceptable method of engagement and reported a better understanding of research in general. A tool kit was developed to replicate this model and to disseminate this approach.
 
 Next steps: The research core will collect data to better understand the impact of CE Studios on research proposal submissions, funding, research outcomes, patient and stakeholder engagement in projects, and dissemination of results. They will also collect data to determine whether CE Studios increase patient-centered approaches in research and whether stakeholders who participate have more trust and willingness to participate in research.",4,4,10,6,6,0,1,3/28/18,13,,
10.1097/ACM.0000000000000792,"Problem: Electronic medical records have many observed benefits but may cause work disruption, resulting in delayed documentation completion. The purpose of this project was to improve compliance with institutional standards of documentation of well child checks for residents and attendings without increasing stress.
 
 Approach: This project was completed at Children's Hospital Primary Care Clinic at Vanderbilt, which is staffed by 74 residents, supervised by 17 attendings. A longitudinal observational study using convenience sampling for the last full week of each month from October 2010-January 2012 was planned. Baseline documentation completion rates were assessed, then age-specific, structured data-entry forms were introduced beginning in March 2011. Run charts were created for completion data for all clinic visits in the sample. Physician self-report of satisfaction with and stress related to documentation was assessed through pre- and postintervention surveys.
 
 Outcomes: Data were derived for an average of 231 patient visits per month. The median percentage of documentation or attestations completed within the institutional standards increased from 54.7% to 78.9% for residents and from 38.2% to 83.5% for attendings. Physicians reporting high satisfaction with documentation increased from 20.5% to 85.7% (P < .01) for residents and from 11.1% to 76.9% (P < .01) for attendings. Residents reporting high stress with documentation decreased from 59.1% to 28.6% (P < .02).
 
 Next steps: Use of age-specific, structured data-entry forms achieved marked improvement in documentation timeliness, but there is still room for improvement. The authors are now teaching computer-based documentation in exam rooms and instituting accountability measures.",1,1,1,1,1,0,1,3/17/18,13,,
10.1097/ACM.0000000000000786,"Purpose: The Medical Education Research Study Quality Instrument (MERSQI) and the Newcastle-Ottawa Scale-Education (NOS-E) were developed to appraise methodological quality in medical education research. The study objective was to evaluate the interrater reliability, normative scores, and between-instrument correlation for these two instruments.
 
 Method: In 2014, the authors searched PubMed and Google for articles using the MERSQI or NOS-E. They obtained or extracted data for interrater reliability-using the intraclass correlation coefficient (ICC)-and normative scores. They calculated between-scale correlation using Spearman rho.
 
 Results: Each instrument contains items concerning sampling, controlling for confounders, and integrity of outcomes. Interrater reliability for overall scores ranged from 0.68 to 0.95. Interrater reliability was ""substantial"" or better (ICC > 0.60) for nearly all domain-specific items on both instruments. Most instances of low interrater reliability were associated with restriction of range, and raw agreement was usually good. Across 26 studies evaluating published research, the median overall MERSQI score was 11.3 (range 8.9-15.1, of possible 18). Across six studies, the median overall NOS-E score was 3.22 (range 2.08-3.82, of possible 6). Overall MERSQI and NOS-E scores correlated reasonably well (rho 0.49-0.72).
 
 Conclusions: The MERSQI and NOS-E are useful, reliable, complementary tools for appraising methodological quality of medical education research. Interpretation and use of their scores should focus on item-specific codes rather than overall scores. Normative scores should be used for relative rather than absolute judgments because different research questions require different study designs.",12,12,14,10,13,3,1,4/24/18,4,,
10.1097/ACM.0000000000000779,"Since the introduction of the outcomes-based medical education (OBME) movement, progress toward implementation has been active but challenging. Much of the angst and criticism has been directed at the approaches to assessment that are associated with outcomes-based or competency frameworks, particularly defining the outcomes. In addition, these changes to graduate medical education (GME) are concomitant with major change in health care systems--specifically, changes to increase quality and safety while reducing cost. Every sector, from medical education to health care delivery and financing, is in the midst of substantial change and disruption.The recent release of the Institute of Medicine's report on the financing and governance of GME highlights the urgent need to accelerate the transformation of medical education. One source of continued tension within the medical education community arises from the assumption that the much-needed increases in value and improvement in health care can be achieved by holding the current educational structures and architecture of learning in place while concomitantly withdrawing resources. The authors of this Perspective seek to reframe the important and necessary debate surrounding the current challenges to implementing OBME. Building on recent change and service theories (e.g., Theory U and coproduction), they propose several areas of redirection, including reexamination of curricular models and greater involvement of learners, teachers, and regulators in cocreating new training models, to help facilitate the desired transformation in medical education.",6,6,7,7,9,2,1,3/7/18,12,,
10.1097/ACM.0000000000000777,"Integrating the quality and safety mission of teaching hospitals and graduate medical education (GME) is a necessary step to provide the next generation of physicians with the knowledge, skills, and attitudes they need to participate in health system improvement. Although many teaching hospital and health system leaders have made substantial efforts to improve the quality of patient care, few have fully included residents and fellows, who deliver a large portion of that care, in their efforts. Despite expectations related to the engagement of these trainees in health care quality improvement and patient safety outlined by the Accreditation Council for Graduate Medical Education in the Clinical Learning Environment Review program, a structure for approaching this integration has not been described.In this article, the authors present a framework that they hope will assist teaching hospitals in integrating residents and fellows into their quality and safety efforts and in fostering a positive clinical learning environment for education and patient care. The authors define the six essential elements of this framework-organizational culture, teaching hospital-GME alignment, infrastructure, curricular resources, faculty development, and interprofessional collaboration. They then describe the organizational characteristics required for each element and offer concrete strategies to achieve integration. This framework is meant to be a starting point for the development of robust national models of infrastructure, alignment, and collaboration between GME and health care quality and safety leaders at teaching hospitals.",2,2,3,3,4,1,1,4/18/18,6,,
10.1097/ACM.0000000000000768,"Trends in the development of new private colleges of osteopathic medicine (COMs) described by the author in 2003 have accelerated in the ensuing decade. During 2003 to 2013, 10 new COMs as well as 2 remote teaching sites and 4 new branch campuses at private institutions were accredited, leading to a 98% increase in the number of students enrolled in private COMs. The key features of the private COM educational model during this period were a reliance on student tuition, the establishment of health professions education programs around the medical school, the expansion of class size, the creation of branch campuses and remote teaching sites, an environment that emphasizes teaching over research, and limited involvement in facilities providing clinical services to patients. There is institutional ownership of preclinical instruction, but clinical instruction occurs in affiliated hospitals and medical institutions where students are typically taught by volunteer and/or adjunct faculty.Between 2003 and 2013, this model attracted smaller universities and organizations, which implemented the strategies of established private COMs in initiating new private COMs, branch campuses, and remote teaching sites. The new COMs have introduced changes to the osteopathic profession and private COM model by expanding to new parts of the country and establishing the first for-profit medical school accredited in the United States in modern times. They have also increased pressure on the system of osteopathic graduate medical education, as the number of funded GME positions available to their graduates is less than the need.",1,1,1,1,1,0,1,2/24/18,73,,
10.1097/ACM.0000000000000766,"Purpose: To examine associations of medical school applicant underrepresented minority (URM) status and socioeconomic status (SES) with Multiple Mini-Interview (MMI) invitation and performance and acceptance recommendation.
 
 Method: The authors conducted a correlational study of applicants submitting secondary applications to the University of California, Davis, School of Medicine, 2011-2013. URM applicants were black, Southeast Asian, Native American, Pacific Islander, and/or Hispanic. SES from eight application variables was modeled (0-1 score, higher score = lower SES). Regression analyses examined associations of URM status and SES with MMI invitation (yes/no), MMI score (mean of 10 station ratings, range 0-3), and admission committee recommendation (accept versus not), adjusting for age, sex, and academic performance.
 
 Results: Of 7,964 secondary-application applicants, 19.7% were URM and 15.1% self-designated disadvantaged; 1,420 (17.8%) participated in the MMI and were evaluated for acceptance. URM status was not associated with MMI invitation (OR 1.14; 95% CI 0.98 to 1.33), MMI score (0.00-point difference, CI -0.08 to 0.08), or acceptance recommendation (OR 1.08; CI 0.69 to 1.68). Lower SES applicants were more likely to be invited to an MMI (OR 5.95; CI 4.76 to 7.44) and recommended for acceptance (OR 3.28; CI 1.79 to 6.00), but had lower MMI scores (-0.12 points, CI -0.23 to -0.01).
 
 Conclusions: MMI-based admissions did not disfavor URM applicants. Lower SES applicants had lower MMI scores but were more likely to be invited to an MMI and recommended for acceptance. Multischool collaborations should examine how MMI-based admissions affect URM and lower SES applicants.",6,8,9,6,7,1,1,4/29/18,4,,
10.1097/ACM.0000000000000763,"Purpose: Residency programs around the world use multisource feedback (MSF) to evaluate learners' performance. Studies of the reliability of MSF show mixed results. This study aimed to identify the reliability of MSF as practiced across occasions with varying numbers of assessors from different professional groups (physicians and nonphysicians) and the effect on the reliability of the assessment for different competencies when completed by both groups.
 
 Method: The authors collected data from 2008 to 2012 from electronically completed MSF questionnaires. In total, 428 residents completed 586 MSF occasions, and 5,020 assessors provided feedback. The authors used generalizability theory to analyze the reliability of MSF for multiple occasions, different competencies, and varying numbers of assessors and assessor groups across multiple occasions.
 
 Results: A reliability coefficient of 0.800 can be achieved with two MSF occasions completed by at least 10 assessors per group or with three MSF occasions completed by 5 assessors per group. Nonphysicians' scores for the ""Scholar"" and ""Health advocate"" competencies and physicians' scores for the ""Health advocate"" competency had a negative effect on the composite reliability.
 
 Conclusions: A feasible number of assessors per MSF occasion can reliably assess residents' performance. Scores from a single occasion should be interpreted cautiously. However, every occasion can provide valuable feedback for learning. This research confirms that the (unique) characteristics of different assessor groups should be considered when interpreting MSF results. Reliability seems to be influenced by the included assessor groups and competencies. These findings will enhance the utility of MSF during residency training.",5,5,5,5,7,2,1,4/13/18,3,,
10.1097/ACM.0000000000000755,"Purpose: This exploratory multisite study investigated relative proportions of residents' perceived learning across the explicit, implicit (typically called hidden or informal), and extra-curricula for six Clinical Learning Environment Review (CLER) focus areas-patient safety, health care quality, care transitions, supervision, fatigue management, and professionalism-using qualitative and numeric data.
 
 Method: In April through June 2013, the authors recruited and interviewed third-year categorical pediatric residents from three sites. For each CLER focus area, the authors asked residents to think aloud while they assigned a total of 60 points to the explicit, implicit, and extra-curricula, according to where they perceived their learning occurred. All interviews were audio taped and transcribed verbatim. The authors coded qualitative data from interviews using the constant comparative method, scrutinized qualitative data for themes, and reviewed qualitative and numeric data.
 
 Results: A total of 28/79 (35%) residents participated. Residents perceived learning to occur most often in the implicit curriculum for five of the six CLER focus areas; the one exception being health care quality, which predominantly took place in the explicit curriculum. In the implicit curriculum, role modeling and ""learning by doing"" were frequently reported modes of learning. The explicit curriculum was perceived as an important baseline for understanding clinical areas. Relatively less learning was perceived to occur in the extra-curriculum.
 
 Conclusions: The authors believe that recognizing learning in ""other-than-explicit"" curricula could broaden the medical education community's understanding of the purview of the medical education curriculum and help educators tap into underused educational opportunities for important clinical topics.",3,3,4,3,3,0,1,5/9/18,10,,
