"","pickupdate","birthyear","gender","race","disposition","dispdate","sentdate","felonycharges","highestcharge","nondrug","drug1","drug2","incarc","suspend","probat","priorarr","priorfelarr","priordrugarr","priorfeldrugarr","priorcon","priorfelcon","priordrugcon","priorfeldrugcon","laterarr","laterarrdate","laterfelarr","laterfelarrdate","laterdrugarr","laterdrugarrdate","laterfeldrugarr","laterfeldrugarrdate","latercon","latercondate","laterfelcon","laterfelcondate","laterdrugcon","laterdrugcondate","laterfeldrugcon","laterfeldrugcondate","probrevoke","probrevokedate","codef","clusterid","ccn","datacoder","cutoffdate1","cutoffdate2","cutoffdate3","toserve","fullreleasetorecid","female","nonblack","pickupdatecode","age","agesq","incjudge","calendar1","calendar2","calendar3","calendar4","calendar5","calendar6","calendar7","calendar8","calendar9","calendar","incarcerate","marijuana","cocaine","crack","heroin","pcp","otherdrug","pwid","dist","conviction","probatnonzero","probsuspend"
"22","1/15/2003",1971,"M","B","Plea","10/28/2003","12/16/2003",1,"pwid",0,"marijuana","0",3,1,2,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,2820,13550,"3",17714,17898,18049,2,9999,0,0,15720,32,1024,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,2
"23","1/29/2003",1944,"M","B","Plea","6/17/2003","6/17/2003",3,"dist, pwid",0,"heroin","0",324,318,60,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"3/08/2005",0,914,25270,"3",17714,17898,18049,6,9999,0,0,15734,59,3481,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,19080
"24","11/25/2002",1964,"F","B","Plea","6/20/2003","9/30/2003",1,"dist",0,"heroin","0",60,60,36,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"5/04/2006",0,657,186777,"1",17714,17898,18049,0,9999,1,0,15669,38,1444,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2160
"25","10/14/2002",1977,"M","B","Dismissed","3/14/2003","",1,"dist",0,"cocaine","0",0,0,0,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,493,165285,"1",17714,17898,18049,0,9999,0,0,15627,25,625,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"26","4/19/2003",1977,"M","B","Plea","6/20/2003","9/25/2003",2,"pwid",0,"pcp","0",24,24,15,1,1,1,1,0,0,0,0,1,"7/30/2003",1,"7/30/2003",1,"9/09/2005",1,"9/09/2005",0,"0",0,"0",0,"0",0,"0",0,"0",0,1217,63578,"3",17714,17898,18049,0,40,0,0,15814,26,676,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,360
"27","10/31/2002",1984,"F","B","Dismissed","12/18/2002","",1,"dist",0,"cocaine","0",0,0,0,0,0,0,0,0,0,0,0,1,"6/15/2003",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,564,174442,"1",17714,17898,18049,0,179,1,0,15644,18,324,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"28","8/22/2002",1979,"M","B","Plea","1/6/2003","4/4/2003",1,"dist",0,"marijuana","0",15,0,0,1,0,1,0,1,0,1,0,1,"10/3/2006",0,"0",0,"0",0,"0",1,"12/12/2007",0,"0",0,"0",0,"0",0,"0",0,346,138009,"1",17714,17898,18049,15,916,0,0,15574,23,529,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
"29","10/11/2002",1982,"M","B","Plea","6/20/2003","10/27/2003",1,"dist",1,"cocaine","0",36,36,24,1,1,1,1,1,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"8/06/2004",0,479,164385,"1",17714,17898,18049,0,9999,0,0,15624,20,400,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,864
"30","3/7/2003",1980,"M","B","Plea","8/8/2004","10/29/2004",2,"pwid",0,"marijuana","pcp",20,0,0,1,1,1,1,1,1,1,1,1,"1/26/2007",1,"5/07/2008",1,"5/07/2008",1,"5/07/2008",0,"0",0,"0",0,"0",0,"0",0,"0",0,3117,42391,"3",17714,17898,18049,20,301,0,0,15771,23,529,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0
"31","12/4/2002",1981,"M","B","Plea","4/16/2003","7/11/2003",1,"pwid",0,"cocaine","marijuana",60,60,24,1,1,1,1,1,1,0,0,1,"7/15/2003",1,"7/15/2003",0,"0",0,"0",1,"12/07/2004",1,"12/07/2004",0,"0",0,"0",0,"0",0,692,191684,"1",17714,17898,18049,0,90,0,0,15678,21,441,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1440
"32","8/7/2002",1958,"M","W","Dismissed","4/12/2004","",1,"dist",0,"cocaine","0",0,0,0,0,0,0,0,0,0,0,0,1,"12/4/2006",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,299,129843,"1",17714,17898,18049,0,966,0,1,15559,44,1936,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"33","11/9/2002",1974,"M","B","Plea","3/10/2003","6/2/2003",1,"dist",0,"cocaine","0",60,60,24,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,595,179344,"1",17714,17898,18049,0,9999,0,0,15653,28,784,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1440
"34","11/20/2002",1979,"M","B","Dismissed","1/8/2003","",1,"pwid",1,"pcp","0",0,0,0,1,1,1,1,1,1,1,1,1,"2/18/2003",1,"2/18/2003",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,632,184706,"1",17714,17898,18049,0,41,0,0,15664,23,529,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"35","8/2/2002",1959,"M","B","Plea","12/10/2003","2/27/2004",1,"dist",0,"heroin","0",6,6,36,1,1,1,1,1,1,0,0,1,"2/3/2004",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"11/03/2007",0,286,127173,"1",17714,17898,18049,0,55,0,0,15554,43,1849,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,216
"36","9/6/2002",1973,"M","B","Plea","12/16/2002","4/18/2003",1,"pwid",0,"cocaine","0",60,60,24,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,384,145816,"1",17714,17898,18049,0,9999,0,0,15589,29,841,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1440
"37","11/8/2002",1972,"M","B","Plea","4/30/2003","6/20/2003",1,"pwid",0,"cocaine","0",72,36,0,1,1,1,1,1,1,1,1,0,"5/7/2007",1,"5/07/2007",1,"5/07/2007",1,"5/07/2007",0,"0",0,"0",0,"0",0,"0",0,"0",0,590,178612,"1",17714,17898,18049,36,388,0,0,15652,30,900,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
"38","9/14/2002",1973,"M","W","Plea","10/27/2003","12/15/2003",1,"dist",0,"other","0",12,12,12,0,0,0,0,0,0,0,0,1,"11/6/2003",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,421,150458,"1",17714,17898,18049,0,10,0,1,15597,29,841,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,144
"39","6/5/2002",1982,"M","B","Plea","11/4/2002","12/22/2002",1,"dist",1,"cocaine","0",12,0,0,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,15,95092,"1",17714,17898,18049,12,9999,0,0,15496,20,400,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0
"40","7/18/2002",1950,"M","B","Dismissed","4/2/2003","",1,"dist",0,"crack","0",0,0,0,1,1,1,1,0,0,0,0,1,"8/25/2004",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,213,118577,"1",17714,17898,18049,0,511,0,0,15539,52,2704,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"41","6/20/2002",1957,"M","B","Plea","11/5/2002","5/13/2003",1,"pwid",0,"marijuana","0",12,9,12,1,1,1,1,1,1,1,1,1,"12/22/2004",0,"0",1,"12/22/2004",0,"0",1,"12/13/2005",0,"0",1,"12/13/2005",0,"0",0,"0",0,75,103336,"1",17714,17898,18049,3,688,0,0,15511,45,2025,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,108
"42","2/25/2003",1974,"M","B","Plea","5/14/2003","7/21/2003",2,"pwid",1,"cocaine","0",36,21,0,1,1,1,1,1,1,1,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,1057,37692,"3",17714,17898,18049,15,9999,0,0,15761,29,841,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
"43","3/24/2003",1978,"M","B","Plea","11/6/2003","1/8/2004",3,"pwid",1,"marijuana","cocaine",36,36,24,1,1,1,1,0,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,1167,50440,"2",17714,17898,18049,0,9999,0,0,15788,25,625,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,864
"44","7/16/2002",1965,"M","B","Dismissed","9/10/2002","",1,"dist",0,"heroin","0",0,0,0,1,1,1,1,1,1,1,1,1,"7/29/2003",1,"9/09/2004",1,"7/29/2003",1,"9/09/2004",1,"11/18/2003",1,"5/01/2008",1,"11/18/2003",1,"5/01/2008",0,"0",1,195,117731,"1",17714,17898,18049,0,322,0,0,15537,37,1369,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"45","6/22/2002",1956,"M","B","Plea","10/2/2002","11/21/2002",1,"dist",0,"heroin","0",36,0,0,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,88,104791,"1",17714,17898,18049,36,9999,0,0,15513,46,2116,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
"46","12/23/2002",1953,"M","B","Dismissed","4/26/2004","",1,"dist",0,"heroin","0",0,0,0,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,774,200395,"1",17714,17898,18049,0,9999,0,0,15697,49,2401,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"47","2/7/2003",1975,"M","B","Plea","2/2/2004","5/7/2004",1,"dist",0,"other","0",36,0,0,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,987,30243,"3",17714,17898,18049,36,9999,0,0,15743,28,784,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
"48","9/14/2002",1965,"M","W","Dismissed","10/27/2003","",1,"dist",0,"other","0",0,0,0,1,1,0,0,1,1,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,421,150458,"1",17714,17898,18049,0,9999,0,1,15597,37,1369,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"49","6/15/2002",1983,"M","B","Plea","10/23/2002","2/20/2003",1,"dist",0,"crack","0",36,35,24,0,0,0,0,0,0,0,0,1,"1/3/2004",1,"1/03/2004",1,"1/03/2004",1,"1/03/2004",0,"0",0,"0",0,"0",0,"0",1,"8/03/2004",0,59,100601,"1",17714,17898,18049,1,407,0,0,15506,19,361,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,840
"50","7/27/2002",1980,"M","B","DWP","3/31/2003","",1,"pwid",0,"crack","0",0,0,0,0,0,0,0,0,0,0,0,1,"12/24/2004",1,"12/24/2004",1,"12/24/2004",1,"12/24/2004",0,"0",0,"0",0,"0",0,"0",0,"0",1,263,123903,"1",17714,17898,18049,0,634,0,0,15548,22,484,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"51","3/4/2003",1980,"M","B","Plea","10/7/2003","1/20/2004",3,"pwid",1,"crack","pcp",60,60,24,1,0,1,0,0,0,0,0,1,"3/5/2005",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"5/27/2005",0,1091,40689,"2",17714,17898,18049,0,515,0,0,15768,23,529,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1440
"52","2/4/2003",1978,"M","B","Plea","4/17/2003","6/5/2003",1,"pwid",0,"crack","0",39,39,48,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,966,28554,"2",17714,17898,18049,0,9999,0,0,15740,25,625,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1872
"53","4/21/2003",1981,"M","B","Plea","7/15/2003","7/15/2003",2,"dist, pwid",0,"heroin","0",60,48,0,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,1225,64473,"3",17714,17898,18049,12,9999,0,0,15816,22,484,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0
"54","6/1/2002",1972,"M","B","Plea","10/10/2002","12/9/2002",1,"dist",0,"marijuana","0",6,5,24,1,0,1,0,1,0,1,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,5,130337,"1",17714,17898,18049,1,9999,0,0,15492,30,900,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,120
"55","10/15/2002",1983,"M","B","Dismissed","3/7/2003","",1,"dist",0,"cocaine","0",0,0,0,1,0,0,0,0,0,0,0,1,"7/30/2003",1,"1/10/2005",1,"1/10/2005",1,"1/10/2005",1,"6/27/2005",1,"6/27/2005",1,"6/27/2005",1,"6/27/2005",0,"0",0,500,166358,"1",17714,17898,18049,0,145,0,0,15628,19,361,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"56","3/6/2003",1966,"M","B","Plea","5/2/2003","7/10/2003",1,"dist",0,"heroin","0",12,12,36,1,1,1,1,0,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,1109,41882,"2",17714,17898,18049,0,9999,0,0,15770,37,1369,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,432
"57","11/7/2002",1977,"M","B","Dismissed","11/27/2002","",1,"dist",0,"crack","0",0,0,0,1,1,1,1,1,1,0,0,1,"8/14/2004",1,"1/29/2007",1,"1/29/2007",1,"1/29/2007",1,"3/16/2007",1,"3/16/2007",1,"3/16/2007",1,"3/16/2007",0,"0",0,580,178009,"1",17714,17898,18049,0,626,0,0,15651,25,625,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"58","1/8/2003",1978,"M","B","Plea","7/24/2003","11/4/2003",1,"dist",0,"cocaine","0",6,6,12,1,1,1,1,1,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,808,15583,"1",17714,17898,18049,0,9999,0,0,15713,25,625,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,72
"59","7/22/2002",1975,"M","B","Plea","9/13/2002","11/8/2002",1,"pwid",0,"cocaine","0",36,16,0,1,1,1,1,1,1,1,1,1,"5/28/2005",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,229,35630,"1",17714,17898,18049,20,388,0,0,15543,27,729,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
"60","1/15/2003",1963,"M","B","Dismissed","7/28/2003","0",5,"pwid",1,"cocaine","heroin",0,0,0,1,1,1,1,0,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,855,19131,"3",17714,17898,18049,0,9999,0,0,15720,40,1600,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
"61","1/15/2003",1967,"M","W","Plea","5/17/2004","5/17/2004",2,"pwid",0,"heroin","0",3,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,860,19131,"3",17714,17898,18049,3,9999,0,1,15720,36,1296,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
"62","9/12/2002",1972,"M","B","Plea","10/7/2003","12/15/2003",1,"pwid",0,"pcp","0",48,0,0,1,1,0,0,1,1,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,408,149090,"1",17714,17898,18049,48,9999,0,0,15595,30,900,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
